Topic,Title,URL,Comments,Likes,Khiem,Brett,Noushin,Label
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"Conservatives who live in a bubble are often surprised when outsiders fail to relate to the bubble's interior.

Seriously. We on the outside, have no effin' idea what you conservatives are talking about. We can't keep track of your conspiracy theories, word salads, and moving the goal posts all of the time.",0,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,“Stopped watching the sequels after the second one” he is the chosen one,4,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Trey bark but no bite Gowdy,45,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Two tiers of justice in America. One for Democrats and one for the rest of us...,55,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"Can someone please ask Mr Gowdy, why he and Paul Ryan stifled subpoena request during Trumps first two years in office? Russia! Russia! Russia!",1,1,1,1,1
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,Please take Juan off this show. This show is too good. He ruins everything.,6,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,*They should put a democrat politician in jail for every criminal they let go.*,11,1,1,1,1
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"When Gowdy had the opportunity and power to do something, he QUIT! He had a way that could have been at least a start, he still thinks we buy his lines? No, he's like Graham.. Rino.",0,1,1,1,1
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,I have to click away whenever Juan starts spouting his b.s.,35,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"Trump will get reelected because of his accomplishments ,abilities and character.",35,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,I am 87 years old and in all my life I have never witnessed such dirty politics and corruption,118,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Maybe Goud has something to hide himself and this is why he be a flipping 🐟,35,0,1,1,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"C'mon Trey, what I want to hear is "" I found a way """,0,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"2020 and a deer is controlling Twitch, we should have let the virus run it’s course!",2,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"Donald J. Serpico ""THEY'RE DIRTY COPS!!!!!!!!!!!!!!!!""",4,0,1,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,*Put a 8 year old boy in front of Joe Biden and he'll be doing pushups without hands!*,8,1,1,1,1
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Lindsey Graham won't do anything. He is just another RINO.,2,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,The Mueller investigation was pathetic if you remember it. So was Kavenaugh and so was the Ukraine hoax.,55,0,1,1,1
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,Good ol Juan trying his best to represent the democrats so the 5 can say their fair and balanced 😂😂😂😂 your a list cause Juan. 👇👇👇👇,9,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Nothing will happen to all of the big wigs !! they'll get away with all  of this !!! Double standard !!,11,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"On the street, we say ""you don't like my first speed, you won't like my second"" I can't wait for 2024. 2020 is Trumps",2,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Trey Gowdy....I always thought highly of him but while he was a senator he did alot of talking that amounted to a whole lot of nothing!,0,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,That’s rich coming from Tre Gowdy. The guy who let Hillary Clinton skate...,10,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Hey tray what exactly did you do again except talk good line oh that's right let your swamp buddy's go now your gone yourself wow news contributor you must be proud how far you've come up in the world,0,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"Juan simply never read the Federal Rules governing grand jury materials.  They are PRIVILEGED -- not because of anything President Trump said -- but because of what the Legislature said in the PAST.  It's called a LAW, Juan -- not a Presidential WISH.  If you can't read, listen to Judge Jeanine.  (Just a suggestion.)",3,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"""Impeachment Infinity,"" sounds like a flavor of gourmet ice cream that's in Nancy Pelosi's refrigerator.",3,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"House: ""IMPEACH!!! REEEEEEEE!!!""
Senate: ""Lol, no.""",4,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"Aside , i KEPT MY EYES DIRECTED ON A LEG REST SWITCH THE WHOLE TIME !!😳😳😳😳😳😳😳😳😳😳",4,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"I like Graham, but if talks the talk, he needs to walk the walk!! Drain the swamp!!",1,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"the democrats start so many investigations and impeachments, I can't Remember them all!😂😂",59,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"Facts: He was impeached in the house and acquitted in the senate, next chapter....",134,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,I hope Trey Gowdy has learned from his mistakes he could be very helpful to the American citizens in the future,0,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,The 5 has been more entertaining than WWE in the last 12-15 years,4,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,Gotta win the House or it will continue.,189,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"""Did I write a report?"" - Robert Mueller Testimony before Congress",4,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"Sooooooo... which is it? Speak through indictments, or... There has to be ways to hold people accountable other than indictments?",1,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,2nd impeachment is going to fail like the 1st one did.,268,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,Just another dem smokescreen to slow down the incoming revelation's and prevent any charges being dropped on them. KAG.,37,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Wowwwww here we go again dems are literally a waist of time,1,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"I am going to repeat this again 
Senator Linsey Graham will actually do absolutely nothing. 
Graham loves being on these shows ,
Talks and acts big but has and will do nothing.",31,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"Lindsey Graham is ALWAYS going to ""do"" something; trouble is Graham never does get around doing anything.  The more we see of him is he seems to be a RINO.",128,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Yes!,0,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,I love these people democrats how they expose and show the world who they are.,5,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,Who else wants to see Nancy Pelosi in prison?,453,1,1,0,1
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"Gram is like me saying I am going to painting my house, I am always going to do it but I never pick up a brush.",0,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,don't worry when the Traitor is out of the WH we will finally make  him accountable,1,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"It's all they know how to do and they have zero positive agendas to push, so . . . . Impeach, impeach impeach.",1,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,JUAN ruins The Five with his TDS. I have seen some sane Democrats on social media that could replace him and add actual reasonable discussion on issues. I have to mute him to even watch the show.,48,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"Judge Jeanine is absolutely right about Susan Rice's email being an admission of guilt. She even uses quotes every time she types, ""by the book.""",9,0,1,1,1
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"*According to the Left, everybody in Hollywood is also an expert.*",20,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"""Jaun"" you have a lot to learn & WILL NEVER EVER change!!",4,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Trey Gowdy: We need indictment light guys cuz we are friends with the swamp,40,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,2.0? You mean 5.0.,3,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,I thought America is a country of equality/justice/logic ?🤔,89,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Trey why did yourself and Paul Ryan do the sapena when you had the chance.,18,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"What has Pelosi done in the last 4 years
Except go after the nominatied President",71,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"so, the coup continues.",6,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,I lost a lot of respect for Gowdy after seeing him on Tucker Carlson last week.,1,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,Replacing Juan soon? tired of his stupid comments. Shows getting boring.,20,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"is there a reason gowdy wants ""other ways"" to hold people accountable?  I've don't believe in him anymore",46,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"I would feel so ashamed of my party if they just continued to launch failed impeachment after failed impeachment. 
Id probably no longer vote for or associate myself with them",18,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Have they already given up on Jokin’ Joe?,0,1,1,0,1
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"Then in Pelosi’s eyes, anyone who is accused of a crime and found not guilty is guilty forever. Unless of course its a democrat.",65,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"Remove Dems from the House in Nov, their anti-Trump psychosis makes them incapable of running the country",79,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,They keep this up the swamp is going to drain themselves,7,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,I found the origin of the Russian probe! “Russia if you’re listening please help” There you go,1,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"ha ha"" pelosi"" must be putin's new nickname.",86,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,If mike Bloomberg is elected as president with Hillary as his Vice President he will last less time than president William Henry Harrison,15,0,1,0,1
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,Just elect me as President. I need more votes.,14,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"trey gowdy:  from celebrated former prosecutor to the manchild""s mouthpiece!  poor man!",0,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"can we call it the ""Four"" from now on?, or the Five minus Juan. good lord!",3,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"I was talking to a friend who was concerned that Joe Biden would be elected.
""If this mushbrain gets in, 401k's and the stock market will...""
""Trump's already won re-election,"" I said.
""I dunno, man. The Democrats...""
*""Trump's already won re-election.""*",8,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,*It's amazing how many Democrats are begging to have their rights and property taken away.*,43,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Lindsey is right up thier with the late John McCain,62,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"Juan, you're fired.",25,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,Get the house back and we can move forward,88,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,Juan= Would rather die than admit his party is full of lying fools.,164,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"PRESIDENT TRUMP IS THE BEST. 
YOU HAVE MY VOTE IN NOVEMBER.",13,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Wonderful.  A new impeachment to hold our attention while the next plague rolls in.  Or a swarm of locusts or invasion of pythons.,4,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Ain't it beautiful  to watch the dems end there own party. All we have to do is vote in November.  Until then just set back and watch the clown car keep running into the wall over and over again. GO DEMOCRUDS GO.,7,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"I guess liberals, mainstream media and democrats all have coronavirus and TDS 🤔🤔",3,1,1,0,1
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"*Hussein Obama: ""Oh yes, you were right Michael... I mean Michelle. Yours IS bigger!""*",100,1,1,0,1
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"They CAN'T do anything else, that is why they continue impeachment",244,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"Oh goody, some more tax payers money spend by the Left while in the house doing nothing.",50,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"Guess what everyone, the democrats are launching an 'investigation', guess what it is about..... TRUMP, 
What a coinsedence, NOT!!",13,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"If they did it, prosecute. This whole thing is “unprecedented”. The conclusion may also be. Refusing to do what is right is obviously “wrong”!",1,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"I guess they better hurry, they only have five months before Trump is re elected and they are unelected",8,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"Let me get this straight:  If someone is guilty of TREASON, SEDITION, ABUSE OF PROCESS,  etc .,  there are ways of punishing this OTHER THAN incarceration  ✳✳✳ W H A T  ❓❗❓❗❓❗❓❓❓",4,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,WHY DOESN'T SHE CLEAN UP HER DISTRICT? PEOPLE THERE ARE TAKING SCHIFFS RIGHT IN THE DAM STREET.,23,1,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"Should i walk into a bank and hold it up I would be in fear of losing my liberty.
Seems that if im a democrat I can Rob 24/7 in any way I choose......and my punishment? AG Barr telling me to carry on coz as a democrat im untouchable...an invisible aura of invinceability floating around my freezer and ice cream supply.
UNTÒUCHABLE.",0,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Another impeachment witch hunt that will be unfounded just shows how desperate the Democrats really are since there only hope is Creepy Joe Biden,32,0,1,0,1
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,lol Dana loves it... so far. :D,0,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,*Wasn't Robert Byrd of WV a member of the Klan? Of course he was an icon in the Democratic party.*,32,1,1,0,1
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,Trump is going to get reelected because of the American people want four more years of winning.,38,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Impeach this Demonrats.,2,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"*""the fascists of the future will call themselves antifascist""........ and here we are.....ANTIFA*",44,1,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"talk for 3:46 , and we know one thing for sure, 2 sets of laws",15,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,Juan's stupidity is always on display.  Thanks Juan.  You are always helping to bring more Democrat voters over to the Republican side who still may have an ounce of sanity left.,4,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,anyone else waiting for that sharon stone moment?,11,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,We still have dying of old age and God.,2,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"Whenever I see a demoRAT I think about all the times they used people's LIVE'S to get thier agenda through!!! Since they care so much about people's lives, why don't they focuse on helping people out, instead of using Covid as in excuse to blame Trump?!!",23,1,0,0,0