Comment,Ground Truth,Vector
"*Best actress oscar goes to Nancy ""the ripper"" Pelosi for her stunning performance in the movie ""acquitted"".*",1,"[-0.00252533 -0.01290534 -0.00123816 ... -0.00013325  0.00375579
 -0.00144351]"
"*""Fredo Cuomo is doing his show from his wife's basement"" (as she is upstairs getting railed by her boyfriend).*",1,"[-0.00253589 -0.01284249 -0.00152725 ... -0.00042988  0.00345483
 -0.00170336]"
How about impeaching some of these judges who decide to make their own law instead of interpreting the law. Sickening.,1,"[-0.00301885 -0.01361185 -0.00101308 ...  0.00074711  0.00246864
 -0.00175881]"
Listen up Trey!!! We The People DID NOT ELECT Dems like Schiff and Noodler!! DEAD PEOPLE DID!,1,"[-3.7555029e-03 -1.0449816e-02 -1.0899061e-03 ... -3.4036802e-05
  4.1642906e-03 -8.7537005e-04]"
Pelosi is sooo pissed at the AOC  for putting her through this.,1,"[-2.5082529e-03 -1.3212737e-02 -9.1293396e-04 ...  4.9522783e-05
  3.6954584e-03 -5.5082858e-04]"
"Donald J. Serpico ""THEY'RE DIRTY COPS!!!!!!!!!!!!!!!!""",0,"[-0.00233995 -0.01228525 -0.00129954 ... -0.00122652  0.00352672
 -0.00137455]"
"PELOSI is MENTALLY impaired.
America needs to be led a REAL SPEAKER of the HOUSE OF REPRESENTATIVES.",0,"[-0.00261685 -0.013823   -0.00108255 ... -0.00071447  0.00203217
 -0.00074438]"
"trey gowdy:  from celebrated former prosecutor to the manchild""s mouthpiece!  poor man!",0,"[-0.00149337 -0.01421306 -0.00061962 ... -0.00031607  0.00207327
 -0.00085924]"
Trey why did yourself and Paul Ryan do the sapena when you had the chance.,0,"[-9.9543051e-04 -1.4368056e-02 -6.6604064e-04 ...  1.1931554e-04
  8.4845530e-04  7.5416676e-05]"
PLEASE DON'T TELL ME THERE'S GOING TO BE A SECOND IMPEACHMENTðŸ˜”,0,"[-0.00263701 -0.01262859 -0.0017127  ... -0.00087984  0.00209431
 -0.00205669]"
